mt1	mt2   	fin	lab	hw	Att.
49	38	43	87	90	48
78	59	42	86	57	85
31	41	45	86	64	96
59	60	52	90	1.7	85
65	44	49	87	55	31
68	46	23	89	35	30
66	18	11	83	75	50
45	72	70	88	71	23
10	57	36	88	46	85
32	38	16	85	13	0
91	46	24	82	86	88
68	45	41	69	42	19
40	48	49	85	75	96
52	84	77	92	93	56
76	21	49	94	96	64
42	63	47	90	57	52
71	75	57	87	94	59
32	35	40	85	74	72
90	57	54	93	82	93
55	51	57	86	85	100
74	55	56	86	88	96
69	88	67	91	60	54
42	15	35	87	75	56
74	61	44	85	73	100
63	66	43	88	57	54
85	84	84	93	85	46
54	56	54	85	70	100
